application_id,application_code,application_title,application_group,application_wording,application_responses,application_act_section,application_act_summary,active,date_used_from,date_used_to
,MO72001,Applications for a Provisional Order to be confirmed,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",(Reciprocating Countries) Section 7 Maintenance Orders (Reciprocal Enforcement) Act 1972,Maintenance Orders (Reciprocal Enforcement) Act 1972,true,2026-08-26,
,MO20001,Applications for a Provisional Order to be confirmed,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",(EA Countries) (Section 4 Maintenance Orders (Facilities for Enforcement) Act 1920,Maintenance Orders (Facilities for Enforcement) Act 1920,true,2026-08-26,
,MO72002,Application for a Final Order to be made,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",(UN Convention Countries) (Part 2 Maintenance Orders (Reciprocal Enforcement) Act 1972,Maintenance Orders (Reciprocal Enforcement) Act 1972,true,2026-08-26,
,HC07001,Applications for a Final Order to be made,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Claim for Maintenance under Articles 10 & 11 - Hague Convention 2007,Hague Convention 2007,true,2026-08-26,
,CA89001,"Application under schedule 1 Children Act 1989 or the Domestic Proceedings & Magistrates Courts Act 1978, applying Jurisdictional Provisions in this Legislation (schedule 1 para 14 Children Act 1989 and Section 30 DPMCA 1978)",Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]","Application under schedule 1 Children Act 1989 or the Domestic Proceedings & Magistrates Courts Act 1978, applying Jurisdictional Provisions in this Legislation (schedule 1 para 14 Children Act 1989 and Section 30 DPMCA 1978)",Children Act 1989,true,2026-08-26,
,MO72003,Application for Registration/recognition of a foreign order in the UK Family Court,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",Reciprocating Countries' (Part 1 Maintenance Orders (Reciprocal Enforcement) Act 1972,Maintenance Orders (Reciprocal Enforcement) Act 1972,true,2026-08-26,
,MO72004,Application for Registration/recognition of a foreign courts order in the UK Family Court,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]",(Part 1 of the Maintenance Orders (Reciprocal Enforcement) Act 1972 as modified by the Reciprocal Enforcement Orders (Hague Convention Countries) Order 1993),Maintenance Orders (Reciprocal Enforcement) Act 1972,true,2026-08-26,
,CJ82001,Application from non-EU Country for registration recognition of an Order in the UK Family Court,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]","Civil Jurisdiction & Judgements Act 1982, Hague Convention 2007 and International Recovery of Maintenance Regulations 2012 as applies to non EU countries.",Civil Jurisdiction & Judgements Act 1982; Hague Convention 2007,true,2026-08-26,
,CJ82002,Application from EU Country for registration/recognition of an order in the family court,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]","Civil Jurisdiction & Judgements Act 1982, Hague Convention 2007 and International Recovery of Maintenance Regulations 2012 as applied to EU countries.",Civil Jurisdiction & Judgements Act 1982; Hague Convention 2007,true,2026-08-26,
,CJ82003,Application from EU Country for registration/recognition of an order in the family court,Create Casefile,Application for [application details].,"[{""name"":""Application details"",""prompt"":""Application details"",""type"":""text-1000"",""mandatory"":""Yes""}]","EU Reg 04/2009 Forms (with or without Hague 2007 forms), order made or proceedings began before 01 January 2021. Civil Jurisdiction and Judgements Act 1982, Hague Convention 2007 and International Recovery of Maintenance Regulations 2012 as applied to EU Countries.",Civil Jurisdiction and Judgements Act 1982; Hague Convention 2007; EU Reg 04/2009,true,2026-08-26,
