result_id,result_title,order_term,enforcement_result,case_result,case_result_type,active,order_accruing,requires_creditor,enforcement_hold,requires_enforcer,generates_hearing,generates_warrant,lists_monies,result_parameters,requires_employment_data,allow_additional_action,enf_next_permitted_actions,manual_enforcement,auto_enforcement
MAT,Matrimonial Order for Adult,true,false,true,Final,true,false,true,false,false,false,false,false,"[{""name"":""Amount"",""prompt"":""Amount"",""type"":""decimal"",""mandatory"":""Yes""},{""name"":""Frequency"",""prompt"":""Payment frequency"",""type"":""menu-radio"",""mandatory"":""Yes"",""options"":""weekly, fortnightly, monthly, quarterly, yearly""},{""name"":""Expiry"",""prompt"":""Expiry date"",""type"":""date"",""mandatory"":""No""},{""name"":""Arrears"",""prompt"":""Arrears"",""type"":""decimal"",""mandatory"":""No""},{""name"":""Creditor"",""prompt"":""Creditor name"",""type"":""text-60"",""mandatory"":""Yes"",""ordersHidden"":true},{""name"":""Respondent"",""prompt"":""Respondent name"",""type"":""text-60"",""mandatory"":""Yes"",""ordersHidden"":true},{""name"":""Payment"",""prompt"":""Payment arrangement"",""type"":""menu-radio"",""mandatory"":""Yes"",""options"":""payable through the Court, payable between the parties"",""ordersHidden"":true},{""name"":""Commencement"",""prompt"":""Date order made"",""type"":""date"",""mandatory"":""Yes"",""ordersHidden"":true}]",false,false,TBC,false,false
MCHILD,Maintenance Order for child(ren),true,false,true,Final,true,false,true,false,false,false,false,false,"[{""name"":""Amount"",""prompt"":""Amount"",""type"":""decimal"",""mandatory"":""Yes""},{""name"":""Frequency"",""prompt"":""Payment frequency"",""type"":""menu-radio"",""mandatory"":""Yes"",""options"":""weekly, fortnightly, monthly, quarterly, yearly""},{""name"":""Expiry"",""prompt"":""Expiry date"",""type"":""date"",""mandatory"":""Yes""},{""name"":""Education"",""prompt"":""Expiry terms"",""type"":""menu-checkbox"",""mandatory"":""No"",""min"":""0"",""hint"":""Add details to case comment or notes"",""options"":""Additional terms affect order expiry""},{""name"":""Arrears"",""prompt"":""Arrears"",""type"":""decimal"",""mandatory"":""No""},{""name"":""Beneficiary"",""prompt"":""Child's name"",""type"":""text-60"",""mandatory"":""Yes""},{""name"":""Child DOB"",""prompt"":""Child's date of birth"",""type"":""date"",""mandatory"":""No""},{""name"":""Respondent"",""prompt"":""Respondent name"",""type"":""text-60"",""mandatory"":""Yes"",""ordersHidden"":true},{""name"":""Payment"",""prompt"":""Payment arrangement"",""type"":""menu-radio"",""mandatory"":""Yes"",""options"":""payable through the Court, payable between the parties"",""ordersHidden"":true},{""name"":""Commencement"",""prompt"":""Date order made"",""type"":""date"",""mandatory"":""Yes"",""ordersHidden"":true}]",false,false,TBC,false,false
MLUMP,Lump sum order,true,false,true,Final,true,false,true,false,false,false,false,false,"[{""name"":""Amount"",""prompt"":""Amount of order"",""type"":""decimal"",""mandatory"":""Yes""},{""name"":""Creditor"",""prompt"":""Creditor name"",""type"":""text-60"",""mandatory"":""Yes"",""ordersHidden"":true},{""name"":""Respondent"",""prompt"":""Respondent name"",""type"":""text-60"",""mandatory"":""Yes"",""ordersHidden"":true},{""name"":""Payment"",""prompt"":""Payment arrangement"",""type"":""menu-radio"",""mandatory"":""Yes"",""options"":""payable through the Court, payable between the parties"",""ordersHidden"":true},{""name"":""Reason"",""prompt"":""Reason for order"",""type"":""text-1000"",""mandatory"":""Yes"",""ordersHidden"":true},{""name"":""Due"",""prompt"":""Cost due by date"",""type"":""date"",""mandatory"":""Yes"",""ordersHidden"":true}]",false,false,TBC,false,false
MNSTD,Non-standard order,true,false,true,Ancillary,true,false,false,false,false,false,false,false,"[{""name"":""Details"",""prompt"":""Non-standard details"",""type"":""text-1000"",""mandatory"":""Yes""}]",false,false,TBC,false,false
MSUMM,Enforcement summons,false,false,true,Interim,true,false,false,false,false,false,false,false,"[{""name"":""Hearing"",""prompt"":""Date of hearing"",""type"":""date"",""mandatory"":""Yes""},{""name"":""Court"",""prompt"":""Court venue"",""type"":""menu-autocomplete"",""mandatory"":""Yes"",""options"":""Courts-API""},{""name"":""Time"",""prompt"":""Hearing time"",""type"":""text-60"",""mandatory"":""Yes""}]",false,false,TBC,false,false
MNENF,Enforcement hearing,false,false,true,Final,true,false,false,false,false,false,false,false,"[{""name"":""Hearing"",""prompt"":""Date of hearing"",""type"":""date"",""mandatory"":""Yes""},{""name"":""Court"",""prompt"":""Court venue"",""type"":""menu-autocomplete"",""mandatory"":""Yes"",""options"":""Courts-API""},{""name"":""Time"",""prompt"":""Hearing time"",""type"":""text-60"",""mandatory"":""Yes""},{""name"":""Reason"",""prompt"":""Reason for hearing"",""type"":""text-1000"",""mandatory"":""Yes""}]",false,false,TBC,false,false
MADJ,Case adjourned,false,false,true,Interim,true,false,false,false,false,false,false,false,"[{""name"":""Adjournment"",""prompt"":""Adjournment date"",""type"":""date"",""mandatory"":""Yes""},{""name"":""Court"",""prompt"":""Court venue"",""type"":""menu-autocomplete"",""mandatory"":""Yes"",""options"":""Courts-API""},{""name"":""Time"",""prompt"":""Hearing time"",""type"":""text-60"",""mandatory"":""Yes""},{""name"":""Reason"",""prompt"":""Reason for hearing"",""type"":""text-1000"",""mandatory"":""Yes""}]",false,false,TBC,false,false
MPAY,Ordered to pay arrears (no adjournment),true,false,true,Final,true,false,true,false,false,false,false,false,"[{""name"":""Arrears"",""prompt"":""Amount of arrears"",""type"":""decimal"",""mandatory"":""Yes""},{""name"":""Details"",""prompt"":""Non-standard details"",""type"":""text-1000"",""mandatory"":""Yes""}]",false,false,TBC,false,false
MTEMP,Temporary order,true,false,true,Final,true,false,true,false,false,false,false,false,"[{""name"":""Creditor"",""prompt"":""Creditor name"",""type"":""text-60"",""mandatory"":""Yes""},{""name"":""Respondent"",""prompt"":""Respondent name"",""type"":""text-60"",""mandatory"":""Yes""},{""name"":""Reason"",""prompt"":""Reason for order"",""type"":""text-1000"",""mandatory"":""Yes""}]",false,false,TBC,false,false
MAEO,Attachment of Earnings Order made,false,false,true,Final,true,false,false,false,false,false,false,false,"[{""name"":""Deduction"",""prompt"":""Normal deduction rate"",""type"":""decimal"",""mandatory"":""Yes""},{""name"":""Protected"",""prompt"":""Protected earnings rate"",""type"":""decimal"",""mandatory"":""Yes""},{""name"":""Period"",""prompt"":""Pay period"",""type"":""text-60"",""mandatory"":""Yes""}]",false,false,TBC,false,false
